URL	DESCRIPTION	AVG_PRICE	MAX_PRICE	MIN_PRICE	ALL_PRICES
http://www.sistic.com.sg/events/cry1015	Synopsis Travelling from central Java to the small, coastal town of Jailolo, Indonesian dancer-choreographer Eko Supriyanto began a long journey of discovery and dialogue between himself and the community of this quiet marine haven. Faced with the brute force of modernisation, he discovered that the coral reefs in the oceans of Teluk Jailolo face impending destruction by violent dynamite fishing practices. Working with seven young men from Jailolo, Supriyanto created a powerful moving dance that gives a voice to this situation and the remote coastal community. As the dancers sweep the stage with the rhythmic beats of their bare feet tapping on the stage floor, Supriyanto paints a mesmerising image of hope for the fish to return once again to the reefs, and for the peace of the ocean to be eventually restored to its magnificent beauty. The intensity and solidarity of these young men examines the relationship between the individual and the collective while illuminating Supriyanto's nuanced choreography. A seamless melding of traditional dance from the Jailolo region, with contemporary impulses, Cry Jailolo is a hypnotic dance work that is as compelling as it is graceful. Visit us at www.dansfestival.com Follow us at www.facebook.com/dansfestival	30.0	30.0	30.0	30.0
http://www.sistic.com.sg/events/torobaka1015	Synopsis Akram Khan and Israel Galván-their names together set the scene. Witness the power, passion, and unrestrained expression in a meeting of two celebrated dance masters that treads the boundary between duet and duel, traditional and the contemporary, hunter and beast. Collaborating together for the first time, Khan and Galván draw deeply from their roots in Indian kathak and Spanish flamenco, seeking the essence of movement in the body beyond the dance form. This is not an ethnic exchange between traditions nor an exercise in global dance. It is a creation from a shared way of understanding dance that harks back to the origins of voice and of gesture, before they began to produce meaning. Mimesis rather than mimicry. Accentuated by the rhythms from Khan's ankle bells and bare feet and Galván's flamenco shoes, the dance masters are accompanied on stage by Spanish and Indian musicians who provide stunning live vocals and music. With ferocious masculine intensity and virtuosic brilliance, TOROBAKA is a duet like no other. Co-produced by MC2: Grenoble, Sadler's Wells London, Mercat de les Flors Barcelona, Théâtre de la Ville Paris, Les Théâtres de la Ville de Luxembourg, Festival Montpellier Danse 2015, Onassis Cultural Centre - Athens, Esplanade - Theatres on the Bay Singapore, Prakriti Foundation, Stadsschouwburg Amsterdam / Flamenco Biënnale Nederland, Concertgebouw Brugge, HELLERAU  European Center for the Arts Dresden, Festspielhaus St. Pölten, Romaeuropa Festival Production sponsored by COLAS Visit us at www.dansfestival.com Follow us at www.facebook.com/dansfestival	54.0	100.0	20.0	100.0;70.0;40.0;20.0;40.0
http://www.sistic.com.sg/events/cviva0915	Synopsis Viva Latinus presents its inaugural Latin Ballroom dance concert- Viva Gold 2015 Noches de Caribe. Join us on a sensory journey of music and dance, with a beguiling story set in the Caribbean. Come indulge your soul with vibrant colours, flamboyant costumes, music and dance! Meet Sebastian and Diego- two brothers separated by fate, both on very different roads in life. Older brother Diego in Puerto Rico, and younger brother Sebastian who finds work and love on a magnificent Caribbean cruise liner. A chance layover in San Juan, Puerto Rico gives Sebastian the chance to search for his brother, drawing the brothers back together. The reunion, however, is not without a string of frightful and unexpected events, culminating in a bittersweet ending laced with nuanced emotion and tears of both grief and relief. Viva Gold 2015 is proudly supported by our official partners: Dancewear SG- DancewearSg provides quality dance wear brands at affordable prices in Singapore with great convenience and quality customer service. We carry our own selection of quality brands from Australia and the U.S that aren't commonly found in your local stores and would normally have to be purchased from overseas and shipped over yourself. Visit our store at www.dancewear.sg to view our latest promotions today! Lime House- Singapore’s first Caribbean restaurant, bar and lounge. Lime House, the restaurant, offers a slice of heaven in a uniquely Caribbean themed space for those seeking to unwind and enjoy Caribbean hospitality as well as superb food and drinks. Housed in beautifully restored heritage shop house in the heart of Chinatown, Lime House's 2nd and 3rd floor private event spaces offer a distinctive yet versatile backdrop against which clients can design unique and definitive experiences. ZALORA is Asia’s online fashion destination, bringing the latest trends from the fashion runways to your computer screens and have them speedily delivered straight to your doorstep. We provide the region’s style enthusiasts with the latest high-street looks through an extensive collection of global and local fashion, and beauty brands made available on one awesome website! Also supported by the Stephen Riady Group of Foundations, NUS Office of Student Affairs, NUS Cultural Activities Club and NUS Alumni House.	19.0	20.0	18.0	20.0;18.0;20.0;18.0
http://www.sistic.com.sg/events/passages1115	Synopsis Be inspired by innovative choreography at Passages Contemporary Season, Singapore Dance Theatre's annual Contemporary Season. A 3-day only showcase, Singapore Dance Theatre will present a medley of contemporary dance works. Featuring three new creations by local choreographer Max Chen, Gigi Gianti, and Swiss-Canadian choreographer Kinsun Chan, as well as the ever-compelling contemporary piece, 4Seasons, by Natalie Weir.	30.0	30.0	30.0	30.0
http://www.sistic.com.sg/events/progress1015	Synopsis After an unparalleled career that has spanned almost 35 years of both dancing ballet and contemporary work, Sylvie Guillem presents her final dance programme. A world famous dancer with an extensive career at the Paris Opera Ballet, as a Principal Guest Artist at the Royal Ballet and Tokyo Ballet, Guillem has played some iconic roles in ballets by Kenneth MacMillan, Maurice Béjart, Frederick Ashton, William Forsythe and Mats Ek. A Sadler's Wells Associate Artist since 2006, she has diversified as a dancer forging an undisputable reputation as a major force in the world of contemporary dance. For this very special programme titled Life in Progress, she will dance two new works including techne, a solo with live musicians on stage, choreographed by Sacred Monsters creator Akram Khan. The second will be a duet entitled Here & After with Italian dancer Emanuela Montanari from La Scala, by Russell Maliphant who choreographed the award-winning PUSH. The evening's programme includes Mats Ek's touching and poignant Bye made especially for her and performed as part of 6000 miles away, and William Forsythe's Duo 2015, performed by two male dancers, Brigel Gjoka and Riley Watts. Don't miss this last opportunity to see one of the world's greatest dancers on stage. A Sadlers Wells London Production, co-produced with Les Nuits de Fourvière, Shanghai International Arts Festival and Sylvie Guillem. Visit us at www.dansfestival.com Follow us at www.facebook.com/dansfestival	86.0	120.0	40.0	120.0;100.0;70.0;40.0;100.0
http://www.sistic.com.sg/events/legends1015	Synopsis From the heart of Argentina comes the fiery magic of tango. Sensuous, beautiful and soul-moving, it is a language of the body that has transcended cultural boundaries to become a worldwide phenomenon. Tango Legends is inspired by the grand legends and history of this dramatic dance form. Renowned Argentine tango dancers and choreographers Pablo Sosa and Mariela Maldonado, together with their acclaimed troupe that includes 14 award-winning dancers, present a spectacular celebration of tango, complete with a remarkable music band with two skilful singers, dramatic costumes and spellbinding sensuality. These master artists reveal what makes tango legendary, in a breathtaking display that infuses all styles of this passionate dance with their signature glamour. Together, they seek to revive the devotion of the men and women who danced the first tangos. Today, the whole world moves to tango. Its rise from local phenomenon to global fixture was underlined when tango was declared as an Intangible Cultural Heritage of Humanity by UNESCO in 2009. Visit us at www.dansfestival.com Follow us at www.facebook.com/dansfestival	70.0	120.0	20.0	120.0;100.0;70.0;40.0;20.0
http://www.sistic.com.sg/events/softm1015	Synopsis After travelling across Asia to research and interview 88 Asian dance-makers, Singapore artist Choy Ka Fai collaborates with dance artists from four countries to present a performance series from his monumental research project SoftMachine. Through intimate dance portraits, Choy leads us into the deeply personal working lives of choreographers that are negotiating the ever-changing terrain of contemporary dance-making in Asia. From India, Surjit Nongmeikapam breaks out of conservative Manipuri cultures and questions exoticism when creating dance for the consumption of European audiences. From Indonesia, Rianto specialises in the traditional dance Lengger and explores the personal and societal tensions of gender in dance-making today. From Japan, Yuya Tsukahara, leader of Contact Gonzo, subjects Choy to a brutal contact improvisation duet and interview, where answers are returned in the form of Gonzo's signature raw physical power. From China, Xiao Ke and Zi Han reflect on the social and political context of their environment, and experiment with the symbolic tendencies of the Chinese dance-maker. Part performance, part interview, and set against documentary films created with each of the artists, Choy's enquiry investigates the choreographic minds of the present and speculates the possibilities of their futures. Join us for a dialogue with the artists after the 8pm performances. This production will take place in two parts. Tickets are required for both parts. Visit us at www.dansfestival.com Follow us at www.facebook.com/dansfestival	30.0	30.0	30.0	30.0
http://www.sistic.com.sg/events/ebizo1015	Synopsis Kabuki when broken down, refers to music (ka), dance (bu) and skill (ki). It is an ancient form of Japanese theater dating back to 17th century Japan. Japan Theater is produced and headlined by Ebizo Ichikawa XI, the 'Prince of Kabuki'. In honour of Singapore's 50th year, Ebizo Ichikawa XI's Japan Theater 2015 is proud to present in Singapore, two kabuki plays that have never been seen before, Uwanari and Mimasu Kuruwa no Kasauri. Uwanari is one of the famed Kabuki Juhachiban, a set of eighteen kabuki plays. This old classic has not been performed in a hundred years and will finally be reborn in Singapore. Uwanari, which means "second wife" and "jealousy", is a torrid tale of jealousy, hate, and love. A man divorces his wife and marries another woman. While the newlyweds enjoy marital bliss, the jilted wife fumes and plots her revenge on them. Passions will flare and dark schemes will bloom, through impassioned dance. Mimasu Kuruwa no Kasauri is a brand new play created for Singapore. A charming well-liked umbrella seller earns brisk business until he's beset by ruffians who want a piece of his profits. However, their attempt at intimidation backfires when the umbrella seller reveals himself as Ishikawa Goemon, Japan's greatest thief and outlaw. Ishikawa Goemon soundly beats the thugs and sends them running, and is lauded as a hero by the entire district. Watch Ebizo Ichikawa XI revive the ancient Uwanari play and charm you with Mimasu Kuruwa no Kasauri. Ebizo Ichikawa's aim is to revive the interest in the revered traditional art by making it easier for the audience to appreciate through dance and theatrical movements of Kabuki with traditional classical music. Audiences will not only be amazed and delighted by one of Japan's best living kabuki practitioners, but will also have the opportunity to witness history being made. Click Here For Theatre Conditions of Entry	176.8	350.0	89.0	350.0;185.0;145.0;115.0;89.0
http://www.sistic.com.sg/events/eka1115	Synopsis The Hindus believe that the Universe and the human soul are extensions of Eka Brahman, the Supreme Spirit. From eka (one) comes aneka (many), like the creation of these extensions which take on life of their own but are still part of the divine. Their beginnings and ends, when seen as a whole, are therefore a representation of the infinite. Through bharatanatyam, kuchipudi and odissi, Eka Aneka delves into the concept of the infinite, using classical Indian dance as a starting point to explore multiple manifestations of the Supreme One. Concept: Gayatri Sriram Artistic Direction and Bharatanatyam choreography: Minal Prabhu Kuchipudi choreography: Amrita Lahiri Odissi choreography: Rahul Acharya. Artists: Bharatanatyam: Gayatri Sriram Ananth Nagaraj Parshwanath Upadhyaye Kuchipudi:Amrita Lahiri Odissi: Rahul Acharya Rajashri Praharaj	28.0	28.0	28.0	28.0
http://www.sistic.com.sg/events/milieu1115	Synopsis Milieu is Frontier Danceland's annual end-of-year main stage production that usually presents a double bill - a work choreographed by Artistic Director Low Mei Yoke and a work created by a renowned international choreographer. The latter brings in a cultural perspective and dimension that may differ in varying extends from Singapore's dance scene, thus not only challenging Frontier Danceland's company artists in the way they interpret and execute movement, but also the audience, be it dance practitioners or not, in the way they view contemporary dance. Last year's Milieu presented two different works by overseas choreographers from Taiwan and Israel. This year, however, Frontier Danceland will present a unique full-length work created by artistic director, Low Mei Yoke and rehearsal head/company artist, Christina Chan, with a music score composed by Ho Wen Yang and live music by Ding Yi Music Company. Instead of comparing two separate works, this year's Milieu will integrate the ideas and styles of two different choreographers into one seamless work. The age gap between Low Mei Yoke and Christina Chan spans a period of 33 years, creating space and time for the choreography to reflect the coexistence, collision and communication of mind-sets and ideas that the different generations have. The sound design will resonate something similar; composer/sound designer, Ho Wen Yang, will create a score that musicians from Ding Yi Music Company will play with traditional Chinese instruments, only to contemporize it digitally. The lighting design, created by Gabriel Chan, will also embody the concept of old and new. In this cross-generational, multidisciplinary work, the past and the present meet to create something new that is relatable to both the young and the old, and to all ages in between. The work will explore how the old and new can inspire each other and find a way not just to coexist but to create common goals and exciting new viewpoints and works of expression. Choreographers: Low Mei Yoke & Christina Chan Dancers: Adele Goh, Adrian Skjoldborg, Aymeric Bichon, Christina Chan, Joy Wang, Hwa Wei-An & Wayne Ong from Frontier Danceland Composer/Sound Designer: Ho Wen Yang Musicians: Chin Yen Choong, Chua Yew Kok, Eugene Toh, Kenny Chan & Tan Qing Lun from Ding Yi Music Company Lighting Designer: Gabriel Chan	22.5	25.0	20.0	25.0;20.0
