URL	DESCRIPTION	AVG_PRICE	MAX_PRICE	MIN_PRICE	ALL_PRICES
http://www.sistic.com.sg/events/asha0915	Synopsis Bay Entertainment and Vmall Events are proud to present an Enchanting Evening with Legendary Singer "Asha Bhosle - The Last Empress"....a rare moment and opportunity to relive her 70 years in the music industry through her songs. Giving her company on stage will be popular actor, director and singer Sachin who has acted in Nadiiya ke Paar, Geet Gaata Chal , Sholay etc. The Mega concert will be held on Saturday Sept 26th at Star Performing Arts Centre, 1 Vista exchange Green,Singapore 138617 at 7:00 PM. It will be attended by leading corporate clients of major financial institutions, diplomats, celebrities, businessmen and people from all walks of life. Ashaji has dominated the Indian music industry for more than six decades. Hailed to be a highly versatile singer, Asha Bhosle has sung more than 12,000 songs in more than 20 Indian and foreign languages till now. The magic of Ashaji's husky, sensuous and teasing voice draws pictures of brimming emotions, passion and anticipation. Its evergreen versatllity and everlasting youth ensures that generations to come will still adore her. Ghazals, pops, classical, and folk songs - there is no genre of music untouched by Asha Bhosle. Dum Maro Dum , Dil Cheez Kya Hai , In Aakhon ki Masti , Mera Kuch Samaan , Do Lafzon ki Hai Dil ki Kahani , Parde mein Rehne Do are a few of her evergreen hits. Ashaji has been honoured with Padma Vibhushan, Dadasaheb Phalke, Filmfare and National Awards . She has been recognized by the Guinness Book of World Records as the most recorded artist in music industry. She was the first Indian singer to be nominated for Grammy Awards. Be there to witness a beautiful and unforgettable evening of music which will linger in your hearts for a long long time	128.0	248.0	38.0	248.0;198.0;158.0;128.0;88.0;68.0;48.0;248.0;58.0;38.0
http://www.sistic.com.sg/events/ess1015	Synopsis view in: chinese english 指挥：葉聰 男高音：莫华伦 女高音：吴碧霞 胡琴：李宝顺 合唱团 : 新加坡青年合唱团 (SYC Ensemble Singers) 合唱指导: 谭秀英 旱天雷 / 赵东升编曲 牌友 / 埃里克沃森 火祭 / 谭盾 捕风掠影II刺的回味之红毛丹 / 江赐良 马可波罗与卜鲁罕公主选段 / 刘湲作曲、王乙宴作词 新加坡华乐团，身为新加坡的文化大使，将满载新加坡文化精粹，在香港刮起"南洋风"。一场能够全面展现南洋华乐风格与特色的精彩作品的音乐会，音乐会的重头戏由刘湲作曲、王乙宴作词的交响诗《马可波罗与卜鲁罕公主》选段 ，将由有"中国三大男高音"之称的世界著名男高音莫华伦以及被誉为中西合璧的夜莺的中国著名女高音吴碧霞同台演绎。乐团首席李宝顺将会以精湛琴艺呈现谭盾的胡琴代表作《火祭》。同于首届新加坡国际华乐作曲大赛获得创作大奖的本地作曲家埃里克沃森 与马来西亚作曲家江赐良创作的小品《牌友》和《捕风掠影II刺的回味之红毛丹》短小精悍，风趣幽默。 Conductor: Tsung Yeh Tenor: Warren Mok Soprano: Wu Bi Xia Huqin: Li Bao Shun Choir: SYC Ensemble Singers Chorus Mistress: Jennifer Tham Thunder Storm and Drought / Arranged by Zhao Dong Sheng Mahjong Kakis / Eric Watson Fire Ritual / Tan Dun Izpirazione II - Rambutan / Simon Kong Su Leong Selections from Marco Polo & Princess Blue / Liu Yuan, lyrics by Wang Yi Yan SCO, as an arts ambassador of Singapore, will bring to the Hong Kong audiences the best essences of our culture through the rich taste of Nanyang flavour. This concert promises to illustrate the beauty of Nanyang music and showcase its most glorious works. This concert starts with a roaring Guangdong piece Thunder Storm and Drought. Concert master Li Bao Shun will perform Tan Dun's huqin masterpiece Fire Ritual. Two concise and witty orchestral works - Mahjong Kakis and Izpirazione II  Rambutan - composed respectively by Eric Watson and Simon Kong Su Leong will also be featured. The finale is a selection from symphonic poem, Marco Polo and Princess Blue, by composer Liu Yuan and lyricist Wang Yi Yan, which will feature established tenor Warren Mok and well-acclaimed Chinese soprano Wu Bi Xia.	51.25	70.0	30.0	70.0;60.0;45.0;30.0
http://www.sistic.com.sg/events/saturday1015	Synopsis When John Travolta walked on to the dance floor in the smash hit film Saturday Night Fever, it changed the way we dance forever... The date is 1976 and in Brooklyn, New York, Tony Manero, a young man with a dead end job but an extraordinary ability to dance has only one ambition in life - to become the Disco King. When he meets Stephanie who also dreams of a world beyond Brooklyn and they decide to train together for a dance competition, their lives begin to change forever. The movie that defined a generation is now a hit musical featuring the iconic Bee Gees soundtrack. It is packed with slick dance moves, flares, dazzling choreography and 70s anthems such as Stayin' Alive, Night Fever, Jive Talking, You Should Be Dancing and How Deep is Your Love. Click Here For Theatre Conditions of Entry	129.0	175.0	95.0	175.0;145.0;125.0;105.0;95.0
http://www.sistic.com.sg/events/ponvizha1015	Synopsis Vasantham Ponvizha LIVE - Celebrating Our Golden Jubilee Through A Musical Journey! Vasantham Ponvizha LIVE returns bigger and better this year to celebrate SG50 on 2nd October 2015 at Suntec City. The LIVE concert promises to be a celebration of local Tamil television and radio as we take a walk down memory lane with our yesteryear veteran singers together with today's young and budding performers. Helmed by acclaimed musician Mohd Raffee and supported by a 25 piece orchestra, the musical extravaganza will feature 'LIVE' renditions of popular local and Kollywood songs along with performances by over 100 local talents. Filled with song, dance and laughter, it will be an entertaining night like never before!	40.0	60.0	20.0	60.0;50.0;40.0;30.0;20.0
http://www.sistic.com.sg/events/schubert0915	Synopsis Who was the tailor named Cockatoo who inspired Beethoven's charming 'Kakadu' Variations? How is the eerie start to Shostakovich's death-themed Piano Trio No. 2 related to its deceivingly light-hearted Jewish finale? And finally, will we ever have enough of the beautiful melodies and tonal adventures that Schubert takes us through in the kaleidoscopic Piano Trio in B-Flat Major ? Find out more at this September recital by a trio of local musicians: Lim Yan (piano), Lee Shi Mei (violin) and Lin Juan (cello). Featured programme: Ludwig van Beethoven's "Kakadu" Variations, Op. 121a (published 1824) Dmitry Shostakovich's Piano Trio No. 2 in E minor, Op. 67 (1944) Franz Schubert's Piano Trio in B-Flat Major, Op. 99/D898 (1827) This recital is kindly supported by the National Arts Council and Arts Fund.	25.0	25.0	25.0	25.0
http://www.sistic.com.sg/events/cgala0915	Synopsis Singapore Sounds is a new semi-professional Orchestra specialising in music written and arranged by Singaporeans and performed by Singaporeans. In celebration of the nation’s golden jubilee, we hope to unite Singaporeans with music that we identify with, represents Singapore, and preserves our National heritage. SS aspires to be a unique ensemble that represents a multi-cultural Singapore. We hope to foster community bonds by being a platform for diverse performing art groups to come together. Importantly, we want to help preserve Singapore’s music heritage and promote our national identity on the international stage. Singapore Sounds’ inaugural gala concert will feature locally-themed new compositions and arrangements of popular local music by a team of local composers, such as Robert Casteels, Eric Watson, Phoon Yu, KokJun Phang, Syafiqah 'Adha Sallehin, Zaidi Sabtu-Ramli, and Jinjun Lee . Besides new exciting compositions, rekindle your affections for older Singapore tunes such as Home, Munnaeru Vaalibaa, Rasa Sayang, and more! With a standard orchestra setting, Singapore Sounds will also be collaborating with musicians from prominent Chinese, Malay, and Indian ethnic groups, such as Orkestra Sri Temasek, Ding Yi Music Company, and Flame of the Forest to present to you, the uniquely, Singapore Sounds. Conducted by Adrian Chiang, the orchestra will be led by concert master Yoong Han Chan, and feature cultural medallion award winner, Ms Lynnette Seah, as our soloist. Singapore Sounds is a recipient of the SG50 Celebration Fund, and is kindly supported by the Yong Siew Toh Conservatory of Music (NUS).	20.0	25.0	15.0	25.0;15.0
http://www.sistic.com.sg/events/beast0915	Synopsis BEAST or B2ST is a six-member South Korean boy band formed in 2009 by Cube Entertainment. Since their debut, BEAST has released two Korean full-length albums, eight mini albums, one Japanese full-length album and various singles. The group's debut release was in October 2009, when their first mini album, BEAST IS THE B2ST, was made available. They then released their first full-length album, FICTION AND FACT, in 2011, receiving their first triple crown on M.Net's M! Countdown for their lead single FICTION. In the same year, BEAST made their Japanese debut with the release of the single, SHOCK (Japanese Version) The group has since achieved significant commercial and critical accolades with time, winning the Bonsang Award at the Seoul Music Awards in both 2011 and 2012. BEAST won Artist of the Year (Daesang) Award at the Melon Awards and Album of the Year for FICTION AND FACT at the Gaon Chart Awards for the second quarter of 2011. FICTION also won a Daesang for "Song of the Year" at the 2011 KBS Music Festival. They repeated this feat in 2012 winning Artist of the Year at the Melon Music Awards. BEAST also made their comeback recently with their 8th mini album titled "Ordinary", featuring their title-track "YeY" and pre release track "Gotta go to work". After a 3 year wait, BEAST is finally coming back to Singapore after their last concert "Beautiful Show" in 2012! Fans can anticipate an exciting and unforgettable fan meet as they will perform approximately 2 hours which include 12 songs and 2 game segments!	193.0	268.0	128.0	268.0;208.0;168.0;128.0
http://www.sistic.com.sg/events/beetho1015	Synopsis Take a journey back to late 18th century Vienna as the Incursion Trio presents Back to Beethoven (I): The First Viennese School - the first in a series of Beethoven's piano trio cycle recitals. Be enthralled by an evening of music that showcases the trendsetting artistry of Haydn and Beethoven, composers who influenced European art music for an entire century. Not inheritors of tradition, but progenitors of style! Haydn: Piano Trio No. 39 in G Major, Hob. XV: 25 "The Hungarian" Beethoven: 14 Variations on an Original Theme in Eb Major, Opus 44 Beethoven: Piano Trio in G Major, Opus 1 No. 2	20.0	20.0	20.0	20.0
http://www.sistic.com.sg/events/setts0915	Synopsis A new music ensemble advocating South East Asian composers inspiring musical inquiry through artistic collaboration and education. Join us, in our inaugural concert, as we bring you music from Singapore (Hoh Chung Shih, Chua Jon Lin, Daniel Lim), Malaysia (Chow Jun Yan), Indonesia (Septian Dwi Cahyo), Vietnam (Ton-That Tiet) and Brunei (Shilah Husaimee)!	25.0	25.0	25.0	25.0
http://www.sistic.com.sg/events/ssov250915	Synopsis "The tonal and intonational purity of Kavakos' playing is magically beguiling.' - Classic FM Leonidas Kavakos, conductor/violin BEETHOVEN Violin Concerto in D major, Op. 61 DVOŘÁK Symphony No. 7 in D minor, Op. 70 Greek violinist Leonidas Kavakos returns with Beethoven's sunny Violin Concerto, a virtuosic showpiece long considered one of the greatest written for the repertoire. Kavakos will also conduct Dvořák's dramatic Seventh Symphony, which the composer said was inspired by "Love, God and my Fatherland".	45.5	72.0	20.0	72.0;55.0;35.0;20.0
