URL	DESCRIPTION	AVG_PRICE	MAX_PRICE	MIN_PRICE	ALL_PRICES
http://www.sistic.com.sg/events/hello0915	Synopsis After a sell-out run at the Hampstead Theatre in London, SRT is delighted to bring Hello Goodbye, the hottest romantic comedy of the year to Singapore. Featuring a star cast including Shane Mardjuki (Shakespeare in the Park - Twelfth Night, Unlucky Plaza) and Denise Tan (Dim Sum Dollies, Gold 90.5FM DJ). On a hot summer's day, Juliet arrives at her apartment which she thinks she's renting alone, only to find the strange Alex claiming the flat is his. A heated argument ensues leading to a hilarious turn of events. Find out if Alex and Juliet's summer love is here to stay, or if their love is doomed to the pressures of life in a big city. Catch this feel good rom-com; a guide to the perils and hazards of modern-day romance. After a hard day at work, this is the perfect play to unwind to and have a good laugh.	51.25	75.0	30.0	40.0;30.0;50.0;40.0;60.0;50.0;75.0;65.0
http://www.sistic.com.sg/events/mamayong1015	Synopsis view in: english malay Young love-birds, Claudio and Hero, are about to be married. On the eve of the wedding however, Claudio believes Hero to be unfaithful. Hero is humiliated at the altar and seemingly dies from grief. Hero's cousin, Beatrice, is constantly logging heads with Benedick. Both are perfectly suited for each other but persistently insist otherwise. The other folks plot to get the two together; they were tricked into confessing their feelings for each other. Adapted from Shakespeare's Much Ado About Nothing, Ma'ma Yong (About Nothing Much To Do) is a romance-comedy set against the backdrop of a mental asylum. Presented by an ethnic melting pot of players, Ma'ma Yong will serve you the local, the medieval, the cultural and the spiritual all on one platter. Sepasang kekasih muda, Claudio dan Hero, akan diijab-kabulkan. Malangnya, sehari sebelum hari pernikahan mereka, gara-gara termakan fitnah, Claudio telah menuduh Hero berlaku curang. Hero dimalukan di atas mezbah dan dikatakan telah mati akibat terlalu sedih. Manakala sepupunya Hero, Beatrice, sentiasa bertengkar dengan Benedick. Kedua-duanya bagaikan pinang dibelah dua tetapi sering bercakaran. Kaum kerabat bersama teman-teman berkomplot untuk menyatukan mereka; Beatrice dan Benedick terpedaya dan akhirnya, mengaku perasaan cinta mereka. Sebuah adaptasi dari Much Ado About Nothing oleh Shakespeare, Ma'ma Yong (About Nothing Much To Do) adalah sebuah komedi romantis yang menceritakan akan sebuah pementasan yang berlaku di sebuah hospital sakit jiwa. Dengan barisan pelakon yang terdiri dari pelbagai bangsa dan budaya, Ma'ma Yong menjanjikan sajian yang beraneka citarasa, dari genre lokal ke feudalisma langsung ke budaya dan spiritual dalam satu hidangan.	28.0	28.0	28.0	28.0
http://www.sistic.com.sg/events/sifa2015p	Synopsis BY: ONG KENG SEN KAFFE MATTHEWS CHRIS LEE of ASYLUM BRIAN GOTHONG TAN RECKLESS ERICKA FRANCIS NG Commissioned for the opening of Singapour en France - le festival at Palais de Tokyo in Paris in March 2015, Ong Keng Sen creates The Incredible Adventures of Border Crossers, a new performance forged in collaboration with creative talents specialising in design, photography, video and sound (Chris Lee of Asylum, Reckless Ericka, Francis Ng, Brian Gothong Tan, Kaffe Matthews). It tells a story of past-present-future through the voices of border crossers. Real-life border crossers who have never acted before (from Europe, the Americas, and the Asia-Pacific) are invited to be performers in this piece. Sharing their everyday stories as incredible adventures, they inhabit the installation - singing, dancing, and invoking pioneer travellers who were captured by the Lee Brothers Studio in Singapore, a unique photo salon, in 1910. Unlike theatre, this is a performance that's at once installation, karaoke and fashion runway. The Incredible Adventures of Border Crossers is a stunning combination of music, visual culture, live video, fashion, documentary and performance that envisions communications in a not-so-distant future megapolis, amidst a heterotopia of individuals.	45.0	45.0	45.0	45.0
http://www.sistic.com.sg/events/chestnut0915	Synopsis Parody - by the people, for the people, about the people! Singapore's longest running live parody sketch show is back to commemorate SG50 with you! From popstar-preachers to pastors with magic tricks up their sleeves from premature elections to the desperate hunt for a new HOME to sing from jubilee babies to the delights of DBSS from boys in pink to men in white to the other men in the other white from Sharon Au's neck exercises to SingaPinoy the Musical and from vegetables at the beach to bananas at the courthouse - Chestnuts is ready to give all of our fellow countrymen an invigorating kick in the nuts! Find out more at www.chestnuts.sg or www.facebook.com/chestnuts.sg Chestnuts has parodied our Uniquely Singaporean ways since 1996, and this year - Singapore's biggest year since er SGzero - we tackles our first-ever all-SG show to celebrate how far we've come as a people, and how nutty the journey has made us! For enquiries, write to us - chestnutsfifty@gmail.com	45.0	45.0	45.0	45.0
http://www.sistic.com.sg/events/summer0915	Synopsis Written by WILLIAM SHAKESPEARE Directed by SERENA HO & RODNEY OLIVEIRO Starring FAZLI AHMAD, JANE CHIA, SARAH CHUA, MATTHEW FAM, GOH KOON HUI, SHAHIDA HASSIM, LIM JUN JIE, LOH AN LIN, NUR HAMIDAH, PERRY FELIX SHEN, FAITH SIM, LEONARD TAN & WU YAHUI Presented by young & W!LD, a division of W!LD RICE Rediscover the love, lust and lyricism of A Midsummer Night's Dream in young & W!LD's sensuous reimagining of William Shakespeare's classic comedy. Deep in the night, in the twisted heart of an enchanted forest, four young lovers must defy tradition and magic to find their way back home; a fairy king resolves to teach his queen a lesson; and a troupe of actors attempt to stage what is, quite possibly, the worst play of all time. From the chaos emerges Shakespeare's weird, witty and unexpectedly wise comedy. Take one last madcap journey with the third cohort of young & W!LD, as they dive into the sexy, naughty and frankly bizarre landscape of A Midsummer Night's Dream. "Are you sure That we are awake? It seems to me That yet we sleep, we dream."  A Midsummer Night's Dream, Act IV, Scene I	32.5	35.0	30.0	30.0;35.0
http://www.sistic.com.sg/events/ching1015	Synopsis Pangdemonium presents its FIRST ever bilingual play "Chinglish" by David Henry Hwang - a thrilling, topical and timely tale of an American businessman's adventures when he travels to China to seal a lucrative deal. Much like Dorothy in Oz, the dis-Oriented hero Daniel Cavanaugh soon realizes that more than language gets lost in translation, as he meets a colourful menagerie of characters on his journey, each one a crouching tiger with a hidden agenda: a gorgeous femme fatale, a three-faced politician, and a trio of terrifying translators. Lost in the world of a different language and culture, he falls helplessly into intrigue with bewildering business partners, and hopelessly into bed with bewitching sleeping partners. Starring: Adrian Pang, Audrey Luo, Daniel Jenkins, Matt Grey, Oon Shu An and MediaCorp Artiste Guo Liang	45.0	70.0	25.0	50.0;40.0;30.0;25.0;70.0;60.0;50.0;35.0;60.0;50.0;40.0;30.0
http://www.sistic.com.sg/events/birthday1015	Synopsis view in: chinese english 唐僧师徒四人前往西天取经，却遭到玉皇大帝的阻止。原来玉皇大帝另有任务派给他们。玉帝选了特别的年份，2015年，并派师徒四人到一个遥远的国度。这个小国刚面临一个伟大领袖的辞世，举国伤痛，不知所措；这个国家就叫新加坡。 师徒四人就展开了一个"未来"之旅。玉帝还附上考验，把四人分开。直到他们找到彼此，合成一组，才可以执行任务。 经过千辛万苦，师徒四人终于团聚，可是玉帝又设下了终极障碍，在火焰山与众神装扮的牛魔王，铁扇公主等来挑战师徒四人；不是大斗魔法，而是大斗歌艺。 透过友情与耐力，师徒四人最终战胜一切，完成任务。 全程载歌载舞，充满笑料，Love 972 全体DJ精彩演出。千万别错过！ Halfway on their Journey to the West, the four pilgrims Tang Seng, Monkey, Pigsy and Sandy are mysteriously transported to a strange new world  Singapore in 2015! Separated and lost, the four friends have to find each other again, and fight a battle against the forces of evil  a karaoke battle! Join your favorite Love 97.2FM DJs singing their favorite songs in this hilarious comedy about friendship!	35.666666666666664	48.0	21.0	48.0;38.0;21.0
http://www.sistic.com.sg/events/kings1015	Synopsis The Comedy Club Asia is thrilled to present the 6th Kings & Queens of Comedy Asia. The last five editions of this stand-up comedy extravaganza played to sold-out crowds in Singapore and KL. This iconic made-in-Singapore production returns this year with five fabulous acts. The Godfather of Malaysian comedy HARITH ISKANDER shares the stage with one of UK's best comics GINA YASHERE. They'll be supported by two rising stars of Asian comedy  RISHI BUDHRANI (SG) and RIZAL VAN GEYZEL (MAL). Last but not least, the hostess with the mostest is none other than Singapores very own Queen of Comedy KUMAR.	74.0	98.0	38.0	98.0;78.0;58.0;38.0;98.0;98.0;98.0;78.0;58.0;38.0
http://www.sistic.com.sg/events/deceit0915	Synopsis view in: english chinese Journey West: Web of Deceit Paper Monkey Theatre (Singapore) Web of Deceit is a fascinating tale from Journey to the West, where the monk Master Tang San Zang, Sun Wu Kong the Monkey King, Piggy and Sandy go on an encounter an exhilarating adventure. On their journey, the Monkey King, Master Tang and his fellow disciples run into the crafty Spider Demon. Spinning her web, the Spider Demon traps Master Tang and Piggy! Will Sun Wu Kong be able to come up with an ingenious plan, and together with Sandy, save his master and Piggy? In this fun and interactive show, children learn about the virtues of determination and loyalty while getting to know the art of Teochew Metal Rod Puppetry and Shadow Puppetry. Together with live music and theatrical elements, this is a show that both kids and adults definitely will not want to miss! This production is commissioned by Esplanade - Theatres on the Bay. Visit us at www.moonfest.com.sg 西游记之盘丝洞 猴纸剧坊（新加坡） 《西游记之盘丝洞》情节惊险万分，故事奇幻有趣。话说唐僧不听徒弟劝阻，独自去找东西吃，却不小心碰到了可怕的蜘蛛精，被捉到盘丝洞里。懒惰贪吃又好玩的猪八戒，糊里糊涂也被蜘蛛精捉了去。这下可不得了，孙悟空会想出什么样的妙计，才能与沙僧，一起把唐僧和猪八戒，从盘丝洞里救出来呢？而无恶不作的蜘蛛精，最后又会不会改过自新呢？ 结合传统潮州铁枝偶、皮影戏、现场音乐演奏及现代科技，猴纸剧坊以活泼生动，充满互动元素的呈现方式，重新演绎脍炙人口的神话故事，让小观众在欢笑声中，学习优良的传统美德。 演出由滨海艺术中心委约。 请浏览 www.moonfest.com.sg	22.0	22.0	22.0	22.0
http://www.sistic.com.sg/events/sifa2015r	Synopsis BY: DRAMA BOXs KOK HENG LEUN THE OBSERVATORY In a country as small as Singapore, space - both physically and psychologically - comes at a premium. Drama Box explores the dynamics of space in Singapore in It Won't Be Too Long, which blends performance and participation in two arts projects, The Lesson and The Cemetery. The two socially engaged art projects also reflect the different approaches to performance-making that have characterised Drama Box's philosophy for 25 years. Unfolding in two parts (Dawn and Dusk), The Cemetery examines the notion and reality of a burial ground - looking in particular at how Bukit Brown represents loss and being lost. Do we need a new road for economic growth or do we need to hold onto some roots in our land? As Dawn approaches, slip into the rhythms of Bukit Brown in the wee hours of the morning. Watch as the shadows of performers evaporate, giving way to daily routines whilst the sun rises. From the ghostly to the earthly, this experiential event situates us firmly in the Bukit Brown Cemetery, which may disappear as contestations continue. Experience the nature of Bukit Brown in the early morning, a site that has dominated the news in the last year but which you have perhaps never visited. In the Dusk of evening, The Cemetery shifts into the genre of verbatim theatre, directed by Kok Heng Leun and shaped by playwright Jean Tay from the words and experiences of ordinary family members as well as various stakeholders such as the Heritage Society, civil society representatives, institutions and agencies. Discover the heartbreak and hope of everyone involved in negotiating the fate of Bukit Brown. Dusk ends with an elegy to this process led by indie pop band The Observatory.	45.0	45.0	45.0	45.0
